Temp1_ID,Product_ID,S_ID
419,360,40
420,361,40
421,362,40
422,363,41
423,364,28
424,365,28
425,366,28
426,367,28
427,368,28
428,369,28
429,370,28
430,371,28
431,372,28
432,373,28
433,364,29
434,374,29
435,366,29
436,369,29
437,370,29
438,375,29
439,372,29
440,373,29
441,368,29
442,376,29
443,377,42
444,378,42
445,379,42
446,380,42
447,381,43
448,382,42
449,383,42
450,384,42
451,385,42
452,386,42
453,387,42
454,388,42
455,389,1
456,390,1
457,391,1
458,392,44
459,393,45
460,393,46
461,394,46
462,395,47
463,396,47
464,397,47
465,398,47
466,399,47
467,400,47
468,401,47
469,402,47
470,403,47
471,404,47
472,405,47
473,406,47
474,407,47
475,408,47
476,409,47
477,410,47
478,411,47
479,412,47
480,413,48
481,414,48
482,415,48
483,416,48
484,417,48
485,418,48
486,419,48
487,420,48
488,421,15
489,422,15
490,421,25
491,422,25
492,423,18
493,424,18
494,425,18
495,426,18
496,427,18
497,428,18
498,429,18
499,430,6
500,431,6
501,432,6
502,433,6
503,434,11
504,435,11
505,436,11
506,437,11
507,438,11
508,439,11
509,434,13
510,439,13
511,435,13
512,436,13
513,437,13
514,440,9
515,440,6
516,441,17
517,442,17
518,443,17
519,444,17
520,445,17
521,446,17
522,447,17
523,448,17
524,449,17
525,450,17
526,451,17
527,452,17
528,453,17
529,454,17
530,455,17
531,456,17
532,457,17
533,458,17
534,459,17
535,460,17
536,461,17
537,462,17
538,463,17
539,464,17
540,465,17
541,466,17
542,467,17
543,468,17
544,469,17
545,470,17
546,471,17
547,472,17
548,473,17
549,474,17
550,475,17
551,476,17
552,477,17
553,478,17
554,479,17
555,480,17
556,481,32
557,482,32
558,483,32
559,476,32
560,484,32
561,452,32
562,485,41
563,486,41
564,487,41
565,488,41
566,489,41
567,490,49
568,491,49
569,492,50
570,493,50
571,494,50
572,495,50
573,496,50
574,497,50
575,498,50
576,499,50
577,500,50
578,501,50
579,502,50
580,503,50
581,504,50
582,505,50
583,506,50
584,507,50
585,508,50
586,509,50
587,510,50
588,511,51
589,512,51
590,511,52
591,513,35
592,514,35
593,515,35
594,516,35
595,517,35
596,518,35
597,519,35
598,520,35
599,521,35
600,522,35
601,523,35
602,524,35
603,525,35
604,526,35
605,527,35
606,528,35
607,529,35
608,530,35
609,531,35
610,532,35
611,533,35
612,534,35
613,535,35
614,536,35
615,537,35
616,538,35
617,539,35
618,540,35
619,541,35
620,542,53
621,543,53
622,544,53
623,545,53
624,546,38
625,547,38
626,548,38
627,549,38
628,550,38
629,551,38
630,552,14
631,553,14
632,554,14
633,555,14
634,556,38
635,557,38
636,558,54
637,559,54
638,560,54
639,561,54
640,562,54
641,563,54
642,564,54
643,565,54
644,566,54
645,567,54
646,568,54
647,569,54
648,570,5
649,571,30
650,572,30
651,573,30
652,574,30
653,575,30
654,576,30
655,577,30
656,578,30
657,579,30
658,580,55
659,581,30
660,582,9
661,583,30
662,580,30
663,582,30
664,571,31
665,573,31
666,575,31
667,577,31
668,578,31
669,579,31
670,584,31
671,585,31
672,582,31
673,583,31
674,571,7
675,573,7
676,575,7
677,578,7
678,584,7
679,582,7
680,586,34
681,587,9
682,588,9
683,589,9
684,590,34
685,591,34
686,592,34
687,593,40
688,594,40
689,595,40
690,596,30
691,597,35
692,598,35
693,599,35
694,600,35
695,601,35
696,602,35
697,603,35
